"","playerID","yearID","stint","teamID","lgID","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP"
"303","gomezlu01",1980,1,"ATL","NL",121,278,18,53,6,0,0,24,0,4,17,27,"2","1","10","1","9"
"304","gonzada01",1980,1,"DET","AL",2,7,1,1,0,0,0,0,0,0,0,1,"0","0","0","0","0"
"305","gonzaju02",1980,1,"HOU","NL",40,52,5,6,1,0,0,1,1,0,1,8,"1","0","1","0","1"
"306","gonzaor01",1980,1,"OAK","AL",25,70,10,17,0,0,0,1,0,2,9,8,"0","0","1","0","0"
"307","goodwda01",1980,1,"MIN","AL",55,115,12,23,5,0,1,11,0,0,17,32,"0","0","1","1","4"
"308","gossari01",1980,1,"NYA","AL",64,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"309","grahada01",1980,1,"BAL","AL",86,266,32,74,7,1,15,54,0,0,14,40,"0","0","1","4","4"
"310","grayga01",1980,1,"CLE","AL",28,54,4,8,1,0,2,4,0,0,3,13,"1","0","0","0","2"
"311","grichbo01",1980,1,"CAL","AL",150,498,60,135,22,2,14,62,3,7,84,108,"2","4","5","5","16"
"312","griffal01",1980,1,"TOR","AL",155,653,63,166,26,15,2,41,18,23,24,58,"2","4","10","5","8"
"313","griffke01",1980,1,"CIN","NL",146,544,89,160,28,10,13,85,23,1,62,77,"4","1","3","5","4"
"314","griffmi02",1980,1,"NYA","AL",13,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"315","griffto02",1980,1,"SFN","NL",44,18,1,2,0,0,1,1,0,0,0,7,"0","0","2","0","0"
"316","grimsro02",1980,1,"MON","NL",11,9,1,2,1,0,0,0,0,0,0,4,"0","0","0","0","0"
"317","grimsro02",1980,2,"CLE","AL",14,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"318","grossgr01",1980,1,"PHI","NL",127,154,19,37,7,2,0,12,1,1,24,7,"1","1","3","0","4"
"319","grosswa01",1980,1,"OAK","AL",113,366,45,103,20,3,14,61,5,3,44,39,"9","1","2","6","2"
"320","grubbjo01",1980,1,"TEX","AL",110,274,40,76,12,1,9,32,2,3,42,35,"5","2","2","3","11"
